userId,movieId,score
633e8ba2bc3a40391db45a5c,6354e362c834f95698ef0221,3.8263317134306836
633e8ba2bc3a40391db45a5c,637a48a12d686b1096842328,3.6433305080226317
633e900bbc3a40391db45a7f,6354e362c834f95698ef0221,4.019685915439231
633e900bbc3a40391db45a7f,633dd3e4f611a788116b43e7,4.0
633e900bbc3a40391db45a7f,6354ebb6c834f95698ef02ca,4.0
633e900bbc3a40391db45a7f,6354ec56c834f95698ef02cd,4.0
633e900bbc3a40391db45a7f,637a48a12d686b1096842328,4.0
633b30e4edfee7840d1006c6,633dc3b4f611a788116b43d8,3.0
633b30e4edfee7840d1006c6,6354e362c834f95698ef0221,3.0
633b30e4edfee7840d1006c6,6354ebb6c834f95698ef02ca,3.0
633b30e4edfee7840d1006c6,6354ec56c834f95698ef02cd,3.0
633b30e4edfee7840d1006c6,637a48a12d686b1096842328,2.9115621417966557
